Kampus The Food Court,"M.I.G 1, Narayan Nagar, Bhopal - 462026, Shivani Complex (Map)",5,-9152643157,2,https://www.justdial.com/Bhopal/Kampus-The-Food-Court-Shivani-Complex-Narayan-Nagar/0755PX755-X755-171208152828-D9C6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,07:00 am - 11:00 pm
The Urban Cafe,"Shop no 46 b Indra Vihar colony, Airport Road, Air Port, Bhopal - 462030, Near Haj house (Map)",5,-9152635400,3,https://www.justdial.com/Bhopal/The-Urban-Cafe-Near-Haj-house-Air-Port/0755PX755-X755-170926135244-J7G6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Apna Kitchen Restaurant Ca..,"B-76 Cristal Tower, Isbt Road, Kasturba Nagar, Bhopal - 462024, Near Chetak Bridge (Map)",4.4,-9152523718,7,https://www.justdial.com/Bhopal/Apna-Kitchen-Restaurant-Cafe-Near-Chetak-Bridge-Kasturba-Nagar/0755PX755-X755-160723150545-F8C1_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:30 am - 09:00 pm
Sanjay Sweet & Restaurant,"Shop No 12, Berasia Road, Karond, Bhopal - 462038, Near Peoples World Mall, Karod Chouraha (Map)",4.2,-9152650468,25,https://www.justdial.com/Bhopal/Sanjay-Sweet-Restaurant-Near-Peoples-World-Mall-Karod-Chouraha-Karond/0755PX755-X755-101013151529-S8E5_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,none
Naveens Bapu Ki Kutia,"Shop No.13/17, First Floor, Amaltas Green Height, Gulmohar, Trilanga, Bhopal - 462039, Near Aura Mall (Map)",4.1,-9152858039,37,https://www.justdial.com/Bhopal/Naveens-Bapu-Ki-Kutia-Near-Aura-Mall-Trilanga/0755PX755-X755-170106121312-Y1U1_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 11:00 pm
Ali Baba Caves,"4th floor, Anandam building, Gulmohar Road, Gulmohar Colony, Bhopal - 462039, Opposite Aura Mall (Map)",4.4,-9152621158,11,https://www.justdial.com/Bhopal/Ali-Baba-Caves-Opposite-Aura-Mall-Gulmohar-Colony/0755PX755-X755-161222182943-M2M1_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:30 am - 11:30 pm
Evening Point Restaurant,"7, Bittan Market, Main Road, Arera Colony, Bhopal - 462016, Below Sales Tax Building (Map)",4.1,-9152589780,53,https://www.justdial.com/Bhopal/Evening-Point-Restaurant-Below-Sales-Tax-Building-Arera-Colony/0755P755STDF000256_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,12:30 pm - 11:00 pm
Taste Of Punjab,"Hotel Ganpati, Plot No- 256, Zone 2, M P Nagar, Bhopal - 462011, In Front Masarowar Complex",5,-9152431161,2,https://www.justdial.com/Bhopal/Taste-Of-Punjab-In-Front-Masarowar-Complex-M-P-Nagar/0755PX755-X755-180323204010-X5P9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,Open 24 Hrs
Agrawals Rajbhog,"R 43, Zone 2, M P Nagar, Bhopal - 462011, Near Railway Track Behind Sargam Cinema (Map)",4.3,-400695,29,https://www.justdial.com/Bhopal/Agrawals-Rajbhog-Near-Railway-Track-Behind-Sargam-Cinema-M-P-Nagar/0755P7480-7480-150711210257-E4S9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Amer Bakery Hut,"Shop No 10, Anmol Tower Commercial Complex, Bittan Market, Arera Colony, Bhopal - 462016, Opposite Devika Petrol Pump (Map)",4.3,-9152547965,495,https://www.justdial.com/BHOPAL/Amer-Bakery-Hut-Opposite-Devika-Petrol-Pump-Arera-Colony/0755P755STD5008_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 10:30 pm
